#{"t_start": 1745342090.7553267, "env_id": "None"}
r,l,t
-15876.185387,1,2.605493
-17769.249496,1,2.608791
-18934.274781,1,2.610913
-17199.611636,1,2.614215
-19081.591723,1,2.616413
-17955.414685,1,2.618654
-17039.530167,1,2.619742
-19498.91797,1,2.621922
-17930.279228,1,2.62414
-18594.819364,1,2.626353
-19495.315102,1,2.628582
-18283.764736,1,2.630865
-18699.609122,1,2.633047
-17964.85019,1,2.635304
-18076.680104,1,2.637479
-18614.992764,1,2.639907
-19255.368324,1,2.642036
-17270.729647,1,2.644228
-17067.221808,1,2.646434
-18812.447403,1,2.648647
-19172.130983,1,2.651843
-17444.241128,1,2.655018
-19661.485309,1,2.657156
-17355.141731,1,2.659181
-17267.464452,1,2.661234
-18542.440544,1,2.663227
-17495.606869,1,2.666246
-19763.248754,1,2.668239
-19409.362253,1,2.671434
-20819.326717,1,2.67362
-18778.675931,1,2.675639
-19017.438311,1,2.678654
-18705.351585,1,2.680647
-18951.761598,1,2.68267
-18948.630204,1,2.685169
-17271.584631,1,2.688561
-16925.490216,1,2.69215
-17935.934576,1,2.694414
-19291.580502,1,2.696606
-17226.154231,1,2.698834
-17626.196312,1,2.701954
-19154.027054,1,2.704638
-18402.107319,1,2.706644
-15828.502363,1,2.708841
-18131.621,1,2.711864
-19342.756414,1,2.713935
-17600.23817,1,2.715966
-17422.355465,1,2.718072
-18844.735642,1,2.72007
-18865.770108,1,2.723059
-20194.315614,1,2.725129
-17789.82468,1,2.727147
-17346.464181,1,2.7307
-17943.059789,1,2.732754
-19683.50723,1,2.734746
-18890.19366,1,2.73779
-17391.931553,1,2.739805
-20420.725378,1,2.742195
-18149.711191,1,2.745289
-20293.572472,1,2.748374
-16907.471955,1,2.750422
-20585.116943,1,2.753536
-17836.064889,1,2.75553
-17671.197507,1,2.757938
-18619.172681,1,2.759934
-18724.375019,1,2.761927
-17330.065039,1,2.766467
-16353.491614,1,2.769689
-19047.210915,1,2.771775
-18097.802549,1,2.774801
-19304.545182,1,2.777908
-18854.605775,1,2.7799
-18384.322152,1,2.783529
-19010.531673,1,2.786269
-18069.296205,1,2.788445
-17167.608542,1,2.791775
-18966.780163,1,2.793768
-17376.786968,1,2.795815
-18146.521356,1,2.797891
-18965.27696,1,2.801349
-19451.149135,1,2.803625
-19300.224442,1,2.805631
-17994.89329,1,2.80765
-16689.21786,1,2.810165
-17754.261562,1,2.812174
-18162.952434,1,2.815164
-18141.15115,1,2.818468
-17309.156823,1,2.82153
-16482.037981,1,2.823609
-18097.326168,1,2.826651
-19832.51915,1,2.829755
-17648.917466,1,2.858117
-17424.672352,1,2.861314
-17569.187143,1,2.863342
-18466.981032,1,2.865417
-18342.102637,1,2.867447
-18218.993173,1,2.869473
-19018.422287,1,2.872558
-18641.125271,1,2.874634
-18919.064192,1,2.877623
-18978.160342,1,2.879616
-19090.171929,1,2.88161
-19106.67415,1,2.883603
-18034.712072,1,2.886104
-17783.34875,1,2.888097
-16432.663608,1,2.890635
-18306.034751,1,2.89276
-18456.162708,1,2.895182
-19502.471271,1,2.898558
-17348.944729,1,2.900606
-16898.550088,1,2.902692
-20073.149213,1,2.904787
-19459.58411,1,2.906914
-19195.080519,1,2.908989
-17417.144564,1,2.912047
-16663.473715,1,2.914252
-19804.23189,1,2.916306
-19311.69053,1,2.918334
-18152.719801,1,2.920435
-17125.472331,1,2.922528
-18917.806384,1,2.925596
-20055.408537,1,2.927588
-18605.273979,1,2.930658
-18393.859552,1,2.932687
-18257.194233,1,2.934766
-19935.40074,1,2.936867
-17075.725602,1,2.938952
-18424.470537,1,2.942021
-18794.181829,1,2.944086
-18109.023119,1,2.946454
-17798.701785,1,2.949463
-21037.273588,1,2.951598
-18832.950732,1,2.953813
-19474.888139,1,2.955897
-18917.548955,1,2.958232
-17260.779248,1,2.960254
-18324.991798,1,2.963292
-19093.311421,1,2.965302
-18044.844276,1,2.967632
-18640.297924,1,2.969651
-17659.290177,1,2.971924
-20593.865085,1,2.974032
-17263.548797,1,2.976362
-18688.331994,1,2.978497
-19037.395641,1,2.980694
-19927.441109,1,2.982927
-19967.883926,1,2.98548
-17839.112292,1,2.987793
-19535.688962,1,2.990056
-18889.741819,1,2.992197
-18499.256322,1,2.99523
-18027.730586,1,2.997224
-18823.772812,1,2.999217
-18799.527496,1,3.002207
-18948.646404,1,3.0042
-17752.920181,1,3.006193
-16293.658816,1,3.009575
-19498.721421,1,3.012777
-17223.375303,1,3.014991
-18102.090442,1,3.017123
-19511.83194,1,3.020343
-18314.716872,1,3.022337
-18754.179106,1,3.025631
-16614.768664,1,3.027889
-17088.644482,1,3.030164
-17742.239271,1,3.032241
-19395.889884,1,3.03425
-17132.362455,1,3.037278
-17941.222018,1,3.039341
-20605.252539,1,3.041667
-19474.432395,1,3.043695
-18274.245291,1,3.046993
-18426.688164,1,3.049038
-17213.900784,1,3.053265
-18838.615466,1,3.055461
-16946.671946,1,3.057566
-17542.896077,1,3.060897
-18676.356738,1,3.062916
-19205.076184,1,3.064937
-19896.49315,1,3.068644
-18593.955378,1,3.070875
-18493.499165,1,3.073059
-18404.598254,1,3.07506
-17366.010128,1,3.077226
-17822.02586,1,3.080298
-17141.592703,1,3.082291
-17224.594544,1,3.085599
-18448.286389,1,3.087115
-19441.980231,1,3.090104
-17931.197609,1,3.09355
-18988.679249,1,3.095641
-18398.960213,1,3.097664
-18488.603664,1,3.100704
-18495.450535,1,3.102736
-18482.835075,1,3.104729
-19788.829918,1,3.107968
-18968.764992,1,3.111218
-17483.075208,1,3.113264
-18631.333408,1,3.115269
-20427.154393,1,3.117302
-18801.91628,1,3.120292
-19508.173944,1,3.122318
-18216.225945,1,3.12571
-18157.131554,1,3.127802
-19864.771392,1,3.129807
-17815.906666,1,3.132908
-17533.667116,1,3.134928
-19886.022575,1,3.13695
-16989.274242,1,3.139965
-19450.260401,1,3.142125
-19924.941686,1,3.144145
-19141.105923,1,3.147418
-18701.887772,1,3.149537
-18940.153272,1,3.15258
-17366.669222,1,3.15569
-18484.755043,1,3.157877
-18874.903348,1,3.159869
-18982.293565,1,3.163141
-18901.916721,1,3.165163
-16698.186646,1,3.167251
-18328.024413,1,3.169296
-18296.142807,1,3.17254
-18707.576561,1,3.174572
-19930.464992,1,3.176586
-18998.014504,1,3.179939
-17525.542834,1,3.181965
-18726.207979,1,3.183958
-19119.555717,1,3.187986
-16779.048259,1,3.189993
-18166.742661,1,3.192137
-17581.89278,1,3.195256
-16230.65692,1,3.198256
-17604.878287,1,3.200294
-17610.787164,1,3.202287
-18069.976535,1,3.205312
-18308.766926,1,3.207341
-18884.138915,1,3.209432
-18791.213885,1,3.212549
-18591.956651,1,3.215572
-17404.823347,1,3.21771
-18900.089633,1,3.220442
-16327.850936,1,3.222435
-18751.402115,1,3.225441
-18259.958815,1,3.22747
-18443.863842,1,3.229463
-18921.449211,1,3.232561
-18897.202194,1,3.234573
-19466.222536,1,3.236566
-18103.857557,1,3.239594
-17514.491525,1,3.241072
-19946.546081,1,3.244093
-19279.405056,1,3.246086
-19363.419821,1,3.248112
-20364.590433,1,3.250105
-18433.820691,1,3.253556
-19885.318133,1,3.255876
-20179.289026,1,3.257934
-18426.522421,1,3.260983
-17457.972481,1,3.263183
-19416.476521,1,3.26554
-19329.788134,1,3.267545
-19195.772298,1,3.269571
-18623.099752,1,3.271567
-18046.991444,1,3.274666
-19398.192991,1,3.276659
-16125.5204,1,3.278653
-17454.473022,1,3.281769
-17773.82662,1,3.283762
-16317.268048,1,3.286675
-19144.127141,1,3.28868
-18741.233203,1,3.291052
-19003.781324,1,3.293048
-17780.662487,1,3.296183
-18177.829281,1,3.298177
-17839.110532,1,3.301217
-18894.261838,1,3.304216
-20906.489924,1,3.306244
-19573.101168,1,3.309643
-17688.507628,1,3.312741
-20030.983605,1,3.314825
-17931.100811,1,3.31795
-18889.845751,1,3.319943
-17855.075849,1,3.32209
-18284.909949,1,3.324242
-19353.173199,1,3.327242
-19382.476383,1,3.329235
-18902.442118,1,3.331228
-18350.826749,1,3.333368
-18172.101539,1,3.335377
-16940.924874,1,3.337384
-18713.635977,1,3.339512
-17335.006341,1,3.344143
-18963.014723,1,3.346188
-19838.689924,1,3.34926
-18026.969642,1,3.351273
-18185.680833,1,3.353267
-19283.751657,1,3.355414
-17750.413907,1,3.357561
-15795.955795,1,3.360701
-18217.238212,1,3.362695
-19621.25965,1,3.365838
-17979.137629,1,3.368892
-17635.893141,1,3.370971
-19348.828174,1,3.372996
-19962.961831,1,3.376113
-17065.868228,1,3.377118
-18546.555135,1,3.380657
-18442.839553,1,3.382661
-18882.023934,1,3.38467
-18459.877314,1,3.387167
-18245.411079,1,3.38916
-17670.558632,1,3.391326
-19786.135196,1,3.393331
-19424.028858,1,3.395338
-20036.236726,1,3.398636
-17431.838961,1,3.40064
-18588.094467,1,3.402778
-18691.241522,1,3.405257
-19187.256133,1,3.408702
-18499.432407,1,3.410775
-17195.40577,1,3.4128
-18472.03982,1,3.41579
-19097.631717,1,3.417828
-18572.438585,1,3.419821
-17702.749622,1,3.421951
-19482.293932,1,3.42552
-18270.469253,1,3.427739
-16737.930877,1,3.430916
-18170.496617,1,3.432909
-20103.572051,1,3.435938
-16700.640228,1,3.43817
-19968.98845,1,3.440193
-16446.968223,1,3.443803
-17903.224545,1,3.446055
-18504.821144,1,3.448235
-18022.993588,1,3.450404
-19220.700638,1,3.452397
-18218.792519,1,3.454391
-19051.113952,1,3.456419
-18495.909272,1,3.458845
-19867.010612,1,3.461076
-19044.561588,1,3.463261
-17100.744473,1,3.465484
-16795.187219,1,3.467762
-18857.803245,1,3.470829
-18636.466631,1,3.472846
-20126.651492,1,3.475455
-20095.272181,1,3.47767
-19559.831458,1,3.479826
-18913.008187,1,3.482026
-16696.117842,1,3.483927
-17787.448549,1,3.486019
-18389.69429,1,3.488761
-18785.590247,1,3.490804
-19219.44957,1,3.492818
-18658.805157,1,3.495838
-17247.108207,1,3.497831
-18076.403213,1,3.499825
-17285.496345,1,3.501818
-18864.542474,1,3.503812
-18662.861126,1,3.506833
-18536.696762,1,3.508853
-18117.316739,1,3.511907
-18105.406036,1,3.513901
-18263.845574,1,3.516376
-17869.729601,1,3.518398
-16993.574512,1,3.520424
-18708.423314,1,3.522417
-19061.20052,1,3.524769
-16601.500999,1,3.528012
-18498.674638,1,3.532315
-18860.46682,1,3.535358
-18378.616247,1,3.537436
-16562.425583,1,3.539503
-16527.908682,1,3.541579
-17990.355443,1,3.543572
-17569.025459,1,3.545701
-18357.570349,1,3.548797
-19556.561495,1,3.5509
-17789.807437,1,3.553012
-16580.291973,1,3.555017
-18876.78972,1,3.55704
-18081.183431,1,3.56075
-18523.360167,1,3.56374
-19128.136157,1,3.567727
-17592.212636,1,3.571715
-17609.766894,1,3.575096
-18699.488292,1,3.579228
-18557.009742,1,3.58129
-19091.005661,1,3.584426
-19437.398349,1,3.587925
-18299.562158,1,3.591293
-18839.998959,1,3.595107
-18788.204267,1,3.598198
-19171.114248,1,3.600343
-19782.11759,1,3.602416
-17554.650371,1,3.605474
-18628.897259,1,3.608014
-18162.675478,1,3.611059
-17946.461401,1,3.614102
